Variable,Non-fallers,Fallers,SMD
N,164,110,
"Age, years",72.20 ± 7.64,71.19 ± 6.93,-0.14
"Disease duration, years",7.90 ± 6.68,8.94 ± 5.69,0.17
UPDRS-III,25.71 ± 11.57,23.91 ± 11.20,-0.16
Hoehn and Yahr stage,3.0 [2.0–3.0],3.0 [2.0–3.0],0.02
"LEDD, mg/day",610.95 ± 364.92,654.19 ± 384.53,0.12
"Gait speed, m/s",0.93 ± 0.25,0.95 ± 0.26,0.07
PC1 rhythmicity-recurrence,-0.26 ± 1.41,0.39 ± 1.94,0.39
PC1 neuromotor complexity,-0.37 ± 1.06,0.54 ± 1.56,0.68
PC1 lower trunk kinematics,-0.08 ± 1.28,0.12 ± 1.22,0.16
Latent gait instability,-0.07 ± 1.01,0.10 ± 0.96,0.16
