Variable,Non-fallers,Fallers,SMD
N,164,105,
"Age, years",70.92 ± 8.17,73.16 ± 5.82,0.32
"Disease duration, years",7.86 ± 6.37,8.99 ± 6.30,0.18
UPDRS-III,24.44 ± 12.79,25.59 ± 9.29,0.10
Hoehn and Yahr stage,3.0 [2.0–3.0],3.0 [2.0–3.0],0.46
"LEDD, mg/day",612.49 ± 409.08,660.76 ± 314.91,0.13
"Gait speed, m/s",0.93 ± 0.26,0.93 ± 0.22,0.01
PC1 rhythmicity-recurrence,0.13 ± 1.82,-0.17 ± 1.33,-0.19
PC1 neuromotor complexity,-0.05 ± 1.42,0.03 ± 1.23,0.05
PC1 lower trunk kinematics,0.02 ± 1.27,-0.06 ± 1.26,-0.06
Latent gait instability,0.02 ± 1.00,-0.04 ± 0.99,-0.06
