Domain,Feature,PC1_loading_oriented
Rhythmicity-recurrence,HR V,0.489829635266191
Rhythmicity-recurrence,HR ML,0.35692038578924823
Rhythmicity-recurrence,HR AP,0.5150226695458783
Rhythmicity-recurrence,iHR V,0.3452757502406997
Rhythmicity-recurrence,iHR ML,0.17756169483082668
Rhythmicity-recurrence,iHR AP,0.10907094496445006
Rhythmicity-recurrence,%det V,0.22141752480008417
Rhythmicity-recurrence,%det ML,0.3219465986214604
Rhythmicity-recurrence,%det AP,0.2282785877243996
Neuromotor complexity,MSE V,0.5785583215245561
Neuromotor complexity,MSE ML,0.593503156470781
Neuromotor complexity,MSE AP,0.559485720866858
Lower trunk kinematics,Tilt,0.5490111760801808
Lower trunk kinematics,Obliquity,0.6613793162965286
Lower trunk kinematics,Rotation (range),0.5110421983693648
