Variable,Overall cohort,Non-fallers,Fallers,SMD
N,269,164,105,
"Age, years",71.80 ± 7.41,70.92 ± 8.17,73.16 ± 5.82,0.32
"Sex, male, n (%)",186 (69.1%),114 (69.5%),72 (68.6%),-0.02
"Disease duration, years",8.31 ± 6.35,7.86 ± 6.37,8.99 ± 6.30,0.18
"Age at disease onset, years",63.68 ± 8.93,62.97 ± 8.72,64.76 ± 9.17,0.20
UPDRS-III,24.90 ± 11.53,24.44 ± 12.79,25.59 ± 9.29,0.10
Hoehn and Yahr stage,3.0 [2.0–3.0],3.0 [2.0–3.0],3.0 [2.0–3.0],0.46
"Hoehn and Yahr ≥3, n (%)",165 (61.3%),90 (54.9%),75 (71.4%),0.35
"LEDD, mg/day",631.50 ± 374.92,612.49 ± 409.08,660.76 ± 314.91,0.13
"Gait speed, m/s",0.93 ± 0.25,0.93 ± 0.26,0.93 ± 0.22,0.01
"Cadence, steps/min",107.25 ± 13.46,106.49 ± 13.78,108.43 ± 12.92,0.14
"Stride length, m",1.03 ± 0.27,1.04 ± 0.28,1.02 ± 0.24,-0.07
